"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Canyon","Idaho","05-17-2022","Canyon 05","WOAH Poultry","30"
"Boone","Illinois","05-17-2022","Boone 01","WOAH Non-Poultry","20"
"Monmouth","New Jersey","05-17-2022","Monmouth 01","WOAH Poultry","60"
"Burke","North Dakota","05-17-2022","Burke 01","WOAH Non-Poultry","50"
"Lane","Oregon","05-17-2022","Lane 01","WOAH Poultry","450"
"Berks","Pennsylvania","05-17-2022","Berks 07","Commercial Table Egg Layer","79000"
"Salt Lake","Utah","05-17-2022","Salt Lake 01","WOAH Non-Poultry","30"
"Thurston","Washington","05-17-2022","Thurston 01","WOAH Non-Poultry","410"
"Ada","Idaho","05-18-2022","Ada 07","WOAH Non-Poultry","6"
"Canyon","Idaho","05-18-2022","Canyon 08","WOAH Non-Poultry","10"
"Canyon","Idaho","05-18-2022","Canyon 06","WOAH Poultry","160"
"Canyon","Idaho","05-18-2022","Canyon 07","WOAH Poultry","6"
"Clay","Minnesota","05-18-2022","Clay 01","WOAH Non-Poultry","20"
"Kandiyohi","Minnesota","05-18-2022","Kandiyohi 09","Commercial Turkey Breeder Toms","4700"
"Berks","Pennsylvania","05-18-2022","Berks 08","Commercial Duck Breeder","7200"
"Jefferson","Colorado","05-19-2022","Jefferson 01","WOAH Non-Poultry","10"
"Ada","Idaho","05-19-2022","Ada 09","WOAH Non-Poultry","30"
"Ada","Idaho","05-19-2022","Ada 08","WOAH Poultry","70"
"Canyon","Idaho","05-19-2022","Canyon 09","WOAH Non-Poultry","10"
"Canyon","Idaho","05-19-2022","Canyon 10","WOAH Non-Poultry","10"
"Allen","Indiana","05-19-2022","Allen 01","WOAH Non-Poultry","7"
"Ada","Idaho","05-20-2022","Ada 10","WOAH Non-Poultry","7"
"Polk","Minnesota","05-20-2022","Polk 01","WOAH Non-Poultry","50"
"Codington","South Dakota","05-20-2022","Codington 01","WOAH Poultry","80"
"Campbell","Wyoming","05-20-2022","Campbell 01","WOAH Non-Poultry","30"
"Dakota","Minnesota","05-21-2022","Dakota 01","Commercial Turkey Meat Bird","54400"
"Berks","Pennsylvania","05-23-2022","Berks 09","Commercial Duck Breeder","4700"
"Bayfield","Wisconsin","05-23-2022","Bayfield 01","WOAH Non-Poultry","40"
"Ada","Idaho","05-24-2022","Ada 11","WOAH Non-Poultry","30"
"King","Washington","05-24-2022","King 01","WOAH Non-Poultry","7"
"King","Washington","05-24-2022","King 02","WOAH Non-Poultry","180"
"King","Washington","05-25-2022","King 03","WOAH Non-Poultry","20"
"Snohomish","Washington","05-27-2022","Snohomish 01","WOAH Non-Poultry","40"
"Becker","Minnesota","05-31-2022","Becker 02","WOAH Non-Poultry","40"
"Toombs","Georgia","06-01-2022","Toombs 01","WOAH Non-Poultry","490"
"Berks","Pennsylvania","06-02-2022","Berks 10","Commercial Duck Meat Bird","30100"
"Snohomish","Washington","06-02-2022","Snohomish 02","WOAH Non-Poultry","30"
"Mchenry","North Dakota","06-06-2022","McHenry 01","WOAH Poultry","30"
"Weld","Colorado","06-07-2022","Weld 02","Commercial Table Egg Layer","1936800"
"Allen","Indiana","06-07-2022","Allen 02","WOAH Poultry","110"
"King","Washington","06-07-2022","King 04","WOAH Poultry","50"
"Polk","Oregon","06-08-2022","Polk 01","WOAH Non-Poultry","90"
"Weld","Colorado","06-09-2022","Weld 03","Commercial Table Egg Pullets","205000"
"Allen","Indiana","06-09-2022","Allen 03","WOAH Non-Poultry","40"
"Snohomish","Washington","06-09-2022","Snohomish 03","WOAH Non-Poultry","30"
"Snohomish","Washington","06-09-2022","Snohomish 04","WOAH Non-Poultry","9"
"Yakima","Washington","06-09-2022","Yakima 01","WOAH Non-Poultry","70"
"Salt Lake","Utah","06-13-2022","Salt Lake 02","WOAH Non-Poultry","70"
"Yakima","Washington","06-14-2022","Yakima 02","WOAH Non-Poultry","30"
"King","Washington","06-22-2022","King 05","WOAH Non-Poultry","9"
"King","Washington","06-22-2022","King 06","WOAH Non-Poultry","3"
"Snohomish","Washington","06-22-2022","Snohomish 05","WOAH Non-Poultry","200"
"Yakima","Washington","06-22-2022","Yakima 03","WOAH Non-Poultry","90"
"Pierce","Washington","06-24-2022","Pierce 03","WOAH Non-Poultry","50"
"Cumberland","Maine","06-29-2022","Cumberland 02","WOAH Non-Poultry","20"
"Yakima","Washington","06-29-2022","Yakima 04","WOAH Non-Poultry","6"
"Salt Lake","Utah","07-01-2022","Salt Lake 03","WOAH Non-Poultry","20"
"King","Washington","07-01-2022","King 07","WOAH Poultry","220"
"Kitsap","Washington","07-01-2022","Kitsap 01","WOAH Non-Poultry","6"
"Linn","Oregon","07-06-2022","Linn 02","WOAH Non-Poultry","40"
"Jefferson","Washington","07-06-2022","Jefferson 01","WOAH Non-Poultry","20"
"Carson City","Nevada","07-07-2022","Carson City 01","WOAH Non-Poultry","40"
"Deschutes","Oregon","07-12-2022","Deschutes 01","WOAH Poultry","100"
"Sanpete","Utah","07-14-2022","Sanpete 01","Commercial Turkey Meat Bird","15500"
"Deschutes","Oregon","07-15-2022","Deschutes 02","WOAH Poultry","60"
"Deschutes","Oregon","07-19-2022","Deschutes 03","WOAH Poultry","100"
"Sanpete","Utah","07-19-2022","Sanpete 02","Commercial Turkey Meat Bird","23300"
"Snohomish","Washington","07-19-2022","Snohomish 06","WOAH Poultry","340"
"Seminole","Florida","07-21-2022","Seminole 01","WOAH Non-Poultry","160"
"Deschutes","Oregon","07-21-2022","Deschutes 04","WOAH Poultry","60"
"Deschutes","Oregon","07-22-2022","Deschutes 05","WOAH Non-Poultry","120"
"Deschutes","Oregon","07-22-2022","Deschutes 06","WOAH Non-Poultry","90"
"Flathead","Montana","07-26-2022","Flathead 01","WOAH Non-Poultry","7"
"Sanpete","Utah","07-26-2022","Sanpete 03","Commercial Turkey Meat Bird","12700"
"Jefferson","Washington","07-26-2022","Jefferson 02","WOAH Non-Poultry","80"
"Coos","Oregon","07-28-2022","Coos 01","WOAH Non-Poultry","20"
"Bethel","Alaska","08-02-2022","Bethel 01","WOAH Non-Poultry","20"
"Sacramento","California","08-10-2022","Sacramento 01","WOAH Non-Poultry","40"
"Northampton","Pennsylvania","08-11-2022","Northampton 01","WOAH Poultry","90"
"Butte","California","08-16-2022","Butte 01","WOAH Non-Poultry","1100"
"Osceola","Florida","08-16-2022","Osceola 01","WOAH Non-Poultry","10"
"Walla Walla","Washington","08-18-2022","Walla Walla 01","WOAH Non-Poultry","2"
"Kitsap","Washington","08-19-2022","Kitsap 02","WOAH Non-Poultry","10"
"Fresno","California","08-22-2022","Fresno 01","Commercial Broiler Breeder","33900"
"Henry","Georgia","08-22-2022","Henry 01","WOAH Non-Poultry","80"
"Contra Costa","California","08-23-2022","Contra Costa 01","WOAH Non-Poultry","60"
"Weber","Utah","08-24-2022","Weber 01","WOAH Non-Poultry","20"
"Pierce","Washington","08-25-2022","Pierce 04","WOAH Non-Poultry","70"
"Fresno","California","08-26-2022","Fresno 02","Commercial Broiler Breeder","34800"
"Tuolumne","California","08-26-2022","Tuolumne 01","Commercial Turkey Meat Bird","161700"
"Cowlitz","Washington","08-26-2022","Cowlitz 01","WOAH Non-Poultry","20"
"Caroline","Virginia","08-29-2022","Caroline 01","WOAH Non-Poultry","110"
"Sacramento","California","08-30-2022","Sacramento 02","Commercial Turkey Meat Bird","97000"
"Tuolumne","California","08-30-2022","Tuolumne 02","Commercial Turkey Meat Bird","7400"
"Tuolumne","California","08-30-2022","Tuolumne 03","Commercial Turkey Meat Bird","91000"
"Meeker","Minnesota","08-30-2022","Meeker 05","Commercial Turkey Meat Bird","126400"
"Meeker","Minnesota","08-30-2022","Meeker 06","Commercial Turkey Meat Bird","52000"
"Fresno","California","09-01-2022","Fresno 03","Commercial Broiler Breeder","22900"
"Sacramento","California","09-01-2022","Sacramento 03","WOAH Non-Poultry","20"
"Tuolumne","California","09-01-2022","Tuolumne 04","Commercial Turkey Meat Bird","30800"
"Elkhart","Indiana","09-01-2022","Elkhart 04","WOAH Poultry","260"
"Hennepin","Minnesota","09-01-2022","Hennepin 01","WOAH Non-Poultry","10"
"Cass","North Dakota","09-01-2022","Cass 02","WOAH Non-Poultry","6"
"Washington","Wisconsin","09-02-2022","Washington 01","WOAH Poultry","120"
"Ashland","Ohio","09-03-2022","Ashland 01","WOAH Non-Poultry","640"
"Defiance","Ohio","09-03-2022","Defiance 01","Commercial Table Egg Layer","3748500"
"Morrison","Minnesota","09-07-2022","Morrison 13","Commercial Turkey Meat Bird","50200"
"Meeker","Minnesota","09-08-2022","Meeker 07","Commercial Turkey Meat Bird","34200"
"El Dorado","California","09-09-2022","El Dorado 01","WOAH Non-Poultry","150"
"Fresno","California","09-09-2022","Fresno 04","Commercial Broiler Breeder","23900"
"Becker","Minnesota","09-09-2022","Becker 03","Commercial Turkey Breeder Hens","17100"
"Twin Falls","Idaho","09-12-2022","Twin Falls 01","WOAH Non-Poultry","40"
"Ingham","Michigan","09-13-2022","Ingham 01","WOAH Poultry","20"
"Brown","Minnesota","09-13-2022","Brown 01","Commercial Turkey Meat Bird","43700"
"Freeborn","Minnesota","09-13-2022","Freeborn 01","WOAH Non-Poultry","320"
"Stearns","Minnesota","09-13-2022","Stearns 10","Commercial Turkey Meat Bird","69400"
"Sanpete","Utah","09-13-2022","Sanpete 04","Commercial Turkey Meat Bird","5800"
"Isanti","Minnesota","09-14-2022","Isanti 01","WOAH Non-Poultry","4"
"Meeker","Minnesota","09-14-2022","Meeker 08","Commercial Turkey Meat Bird","61400"
"Otter Tail","Minnesota","09-14-2022","Otter Tail 05","Commercial Turkey Breeder Hens","7900"
"Allen","Ohio","09-14-2022","Allen 01","WOAH Non-Poultry","2"
"Williams","Ohio","09-14-2022","Williams 01","WOAH Non-Poultry","60"
"Fresno","California","09-15-2022","Fresno 05","Commercial Broiler Breeder","15900"
"Bristol","Massachusetts","09-15-2022","Bristol 01","WOAH Non-Poultry","50"
"Teton","Montana","09-15-2022","Teton 01","WOAH Poultry","2800"
"Summit","Ohio","09-15-2022","Summit 01","WOAH Non-Poultry","6"
"Obion","Tennessee","09-15-2022","Obion 01","WOAH Poultry","130"
"Pierce","Washington","09-16-2022","Pierce 05","WOAH Non-Poultry","30"
"Macomb","Michigan","09-19-2022","Macomb 03","WOAH Non-Poultry","40"
"Dawes","Nebraska","09-19-2022","Dawes 01","WOAH Non-Poultry","40"
"Fresno","California","09-20-2022","Fresno 06","WOAH Non-Poultry","100"
"Brown","Minnesota","09-20-2022","Brown 02","Commercial Turkey Meat Bird","43000"
"Stearns","Minnesota","09-20-2022","Stearns 11","Commercial Turkey Meat Bird","64600"
"Washington","Pennsylvania","09-20-2022","Washington 01","WOAH Poultry","1800"
"Clark","South Dakota","09-20-2022","Clark 04","Commercial Turkey Meat Bird","41700"
"Clark","South Dakota","09-20-2022","Clark 05","Commercial Turkey Meat Bird","23900"
"Sanpete","Utah","09-20-2022","Sanpete 05","Commercial Turkey Meat Bird","73200"
"Weld","Colorado","09-21-2022","Weld 04","Commercial Table Egg Layer","1150000"
"Gooding","Idaho","09-21-2022","Gooding 03","Commercial Upland Gamebird Producer","9000"
"Otter Tail","Minnesota","09-21-2022","Otter Tail 06","Commercial Turkey Meat Bird","5900"
"Roseau","Minnesota","09-21-2022","Roseau 01","Commercial Turkey Meat Bird","116000"
"Sanpete","Utah","09-21-2022","Sanpete 06","Commercial Turkey Meat Bird","11100"
"Anne Arundel","Maryland","09-22-2022","Anne Arundel 01","WOAH Non-Poultry","4"
"Todd","Minnesota","09-22-2022","Todd 07","WOAH Non-Poultry","50"
"Ward","North Dakota","09-22-2022","Ward 01","WOAH Poultry","60"
"Kingsbury","South Dakota","09-22-2022","Kingsbury 03","WOAH Non-Poultry","250"
"Merrimack","New Hampshire","09-23-2022","Merrimack 01","WOAH Poultry","250"
"Kent","Delaware","09-24-2022","Kent 02","WOAH Non-Poultry","10"
"Kent","Delaware","09-24-2022","Kent 03","WOAH Non-Poultry","30"
"Mcpherson","South Dakota","09-24-2022","McPherson 05","Commercial Turkey Meat Bird","56900"
"Dallas","Texas","09-24-2022","Dallas 01","WOAH Non-Poultry","60"
"Goodhue","Minnesota","09-27-2022","Goodhue 01","WOAH Non-Poultry","80"
"Ransom","North Dakota","09-27-2022","Ransom 01","Commercial Turkey Meat Bird","69100"
"Sanpete","Utah","09-27-2022","Sanpete 07","Commercial Turkey Meat Bird","127200"
"Sanpete","Utah","09-27-2022","Sanpete 08","Commercial Turkey Meat Bird","36700"
"Tillamook","Oregon","09-28-2022","Tillamook 01","WOAH Non-Poultry","10"
"Tillamook","Oregon","09-28-2022","Tillamook 02","WOAH Non-Poultry","40"
"Sanpete","Utah","09-28-2022","Sanpete 09","Commercial Turkey Meat Bird","24400"
"Racine","Wisconsin","09-28-2022","Racine 02","Commercial Duck Meat Bird","10000"
"Mesa","Colorado","09-29-2022","Mesa 01","WOAH Non-Poultry","40"
"Lancaster","Pennsylvania","09-29-2022","Lancaster 09","WOAH Non-Poultry","180"
"York","Pennsylvania","09-29-2022","York 01","Commercial Turkey Meat Bird","25900"
"Sanpete","Utah","09-29-2022","Sanpete 10","Commercial Turkey Meat Bird","19300"
"Sanpete","Utah","09-29-2022","Sanpete 11","Commercial Turkey Meat Bird","19900"
"Dunn","Wisconsin","09-29-2022","Dunn 02","Commercial Turkey Meat Bird","79500"
"Nelson","North Dakota","09-30-2022","Nelson 01","WOAH Non-Poultry","50"
"Douglas","Oregon","09-30-2022","Douglas 01","WOAH Non-Poultry","30"
"Calaveras","California","10-03-2022","Calaveras 01","WOAH Non-Poultry","20"
"Stanislaus","California","10-03-2022","Stanislaus 01","Commercial Turkey Meat Bird","51000"
"Tuscola","Michigan","10-03-2022","Tuscola 01","WOAH Poultry","140"
"Portage","Ohio","10-03-2022","Portage 01","WOAH Non-Poultry","50"
"Cache","Utah","10-03-2022","Cache 03","WOAH Non-Poultry","320"
"Del Norte","California","10-04-2022","Del Norte 01","WOAH Poultry","43000"
"Monterey","California","10-04-2022","Monterey 01","Commercial Duck Breeder","15100"
"Box Butte","Nebraska","10-04-2022","Box Butte 01","WOAH Non-Poultry","100"
"York","Nebraska","10-04-2022","York 01","Commercial Upland Gamebird Producer","139500"
"Bernalillo","New Mexico","10-04-2022","Bernalillo 01","WOAH Non-Poultry","40"
"Westmoreland","Pennsylvania","10-04-2022","Westmoreland 01","WOAH Non-Poultry","160"
"Matanuska Susitna","Alaska","10-05-2022","Matanuska-Susitna 02","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-05-2022","Matanuska-Susitna 03","WOAH Poultry","10"
"New Haven","Connecticut","10-05-2022","New Haven 01","WOAH Non-Poultry","50"
"Glacier","Montana","10-05-2022","Glacier 02","WOAH Non-Poultry","1100"
"Berks","Pennsylvania","10-05-2022","Berks 11","WOAH Non-Poultry","10"
"Monroe","Pennsylvania","10-05-2022","Monroe 01","WOAH Non-Poultry","40"
"Fayette","Kentucky","10-06-2022","Fayette 01","WOAH Poultry","150"
"Brule","South Dakota","10-06-2022","Brule 02","Commercial Upland Gamebird Producer","500"
"Hampton City","Virginia","10-06-2022","Hampton 01","WOAH Non-Poultry","40"
"Madison","Arkansas","10-07-2022","Madison 01","Commercial Broiler Breeder Pullets","56000"
"Boulder","Colorado","10-07-2022","Boulder 01","WOAH Poultry","600"
"Johnson","Kansas","10-07-2022","Johnson 01","WOAH Poultry","6"
"Neosho","Kansas","10-07-2022","Neosho 01","WOAH Poultry","2000"
"Lapeer","Michigan","10-07-2022","Lapeer 01","WOAH Poultry","100"
"Pope","Minnesota","10-07-2022","Pope 01","WOAH Non-Poultry","30"
"Sanpete","Utah","10-07-2022","Sanpete 12","Commercial Turkey Meat Bird","26700"
"Sanpete","Utah","10-07-2022","Sanpete 13","Commercial Turkey Meat Bird","38900"
"Broward","Florida","10-11-2022","Broward 01","WOAH Non-Poultry","40"
"Martin","Florida","10-11-2022","Martin 01","WOAH Non-Poultry","50"
"Logan","Kentucky","10-11-2022","Logan 01","WOAH Non-Poultry","190"
"Lapeer","Michigan","10-11-2022","Lapeer 02","WOAH Poultry","40"
"Adams","Pennsylvania","10-11-2022","Adams 01","WOAH Poultry","2800"
"Gregory","South Dakota","10-11-2022","Gregory 01","Commercial Upland Gamebird Producer","200"
"Weld","Colorado","10-12-2022","Weld 05","WOAH Non-Poultry","40"
"Genesee","Michigan","10-12-2022","Genesee 01","WOAH Non-Poultry","20"
"Beadle","South Dakota","10-12-2022","Beadle 05","Commercial Turkey Meat Bird","71400"
"Hamlin","South Dakota","10-12-2022","Hamlin 02","WOAH Non-Poultry","20"
"Sanpete","Utah","10-12-2022","Sanpete 14","Commercial Turkey Meat Bird","52800"
"Fremont","Wyoming","10-12-2022","Fremont 02","WOAH Non-Poultry","30"
"Stanislaus","California","10-13-2022","Stanislaus 02","Commercial Turkey Meat Bird","54900"
"Warren","New Jersey","10-13-2022","Warren 01","WOAH Non-Poultry","6"
"Sanpete","Utah","10-13-2022","Sanpete 15","Commercial Turkey Meat Bird","100000"
"Saint Croix","Wisconsin","10-13-2022","St. Croix 01","WOAH Non-Poultry","20"
"Matanuska Susitna","Alaska","10-14-2022","Matanuska-Susitna 04","WOAH Poultry","1000"
"Pope","Arkansas","10-14-2022","Pope 01","WOAH Non-Poultry","470"
"La Plata","Colorado","10-14-2022","La Plata 02","WOAH Non-Poultry","40"
"Larimer","Colorado","10-14-2022","Larimer 01","WOAH Non-Poultry","20"
"Broward","Florida","10-14-2022","Broward 02","WOAH Poultry","300"
"Tulsa","Oklahoma","10-14-2022","Tulsa 01","WOAH Non-Poultry","30"
"Nye","Nevada","10-17-2022","Nye 01","WOAH Poultry","1600"
"Adams","Pennsylvania","10-17-2022","Adams 02","Commercial Turkey Meat Bird","15100"
"Indian River","Florida","10-18-2022","Indian River 01","WOAH Non-Poultry","300"
"Osceola","Florida","10-18-2022","Osceola 02","WOAH Non-Poultry","20"
"St. Lucie","Florida","10-18-2022","Saint Lucie 01","WOAH Non-Poultry","6"
"Jackson","Missouri","10-18-2022","Jackson 01","WOAH Non-Poultry","40"
"York","Nebraska","10-18-2022","York 02","Commercial Upland Gamebird Producer","34900"
"Traill","North Dakota","10-18-2022","Traill 01","WOAH Non-Poultry","90"
"Sanpete","Utah","10-18-2022","Sanpete 16","Commercial Turkey Meat Bird","100800"
"Shawnee","Kansas","10-19-2022","Shawnee 01","WOAH Poultry","120"
"Roberts","South Dakota","10-19-2022","Roberts 01","Commercial Breeder Operation","3600"
"Rockwall","Texas","10-19-2022","Rockwall 01","WOAH Non-Poultry","50"
"Sanpete","Utah","10-19-2022","Sanpete 17","Commercial Turkey Meat Bird","9400"
"Jefferson","Colorado","10-20-2022","Jefferson 02","WOAH Poultry","50"
"Indian River","Florida","10-20-2022","Indian River 02","WOAH Non-Poultry","60"
"Okeechobee","Florida","10-20-2022","Okeechobee 01","WOAH Non-Poultry","2"
"Valley","Idaho","10-20-2022","Valley 01","WOAH Non-Poultry","20"
"Dallas","Iowa","10-20-2022","Dallas 01","WOAH Non-Poultry","50"
"Hill","Montana","10-20-2022","Hill 01","WOAH Non-Poultry","60"
"Creek","Oklahoma","10-20-2022","Creek 01","WOAH Non-Poultry","50"
"Newport","Rhode Island","10-20-2022","Newport 01","WOAH Non-Poultry","60"
"Spink","South Dakota","10-20-2022","Spink 04","WOAH Non-Poultry","160"
"Virginia Beach City","Virginia","10-20-2022","Virginia Beach 01","WOAH Non-Poultry","10"
"Itasca","Minnesota","10-21-2022","Itasca 01","WOAH Non-Poultry","40"
"Wake","North Carolina","10-21-2022","Wake 01","WOAH Non-Poultry","170"
"Cleveland","Oklahoma","10-21-2022","Cleveland 01","WOAH Non-Poultry","30"
"Ocean","New Jersey","10-22-2022","Ocean 01","WOAH Non-Poultry","90"
"Southampton","Virginia","10-22-2022","Southampton 01","WOAH Non-Poultry","170"
"Indian River","Florida","10-25-2022","Indian River 03","WOAH Non-Poultry","30"
"Indian River","Florida","10-25-2022","Indian River 04","WOAH Poultry","50"
"Lake","Florida","10-25-2022","Lake 01","WOAH Non-Poultry","9"
"Martin","Florida","10-25-2022","Martin 02","WOAH Non-Poultry","30"
"Swift","Minnesota","10-25-2022","Swift 05","Commercial Turkey Meat Bird","33800"
"Grant","South Dakota","10-25-2022","Grant 01","WOAH Non-Poultry","50"
"Sanpete","Utah","10-25-2022","Sanpete 18","Commercial Turkey Meat Bird","3900"
"La Plata","Colorado","10-26-2022","La Plata 03","WOAH Non-Poultry","20"
"Pasco","Florida","10-26-2022","Pasco 01","WOAH Non-Poultry","40"
"Le Sueur","Minnesota","10-27-2022","Le Sueur 03","Commercial Turkey Meat Bird","20100"
"Stearns","Minnesota","10-27-2022","Stearns 12","Commercial Turkey Meat Bird","75000"
"Hillsborough","Florida","10-28-2022","Hillsborough 01","WOAH Non-Poultry","40"
"Wright","Iowa","10-31-2022","Wright 01","Commercial Table Egg Layer","1100000"
"Swift","Minnesota","10-31-2022","Swift 06","Commercial Turkey Meat Bird","45600"
"Tipton","Tennessee","10-31-2022","Tipton 01","WOAH Non-Poultry","90"
"Stearns","Minnesota","11-01-2022","Stearns 13","Commercial Turkey Meat Bird","8500"
"Granite","Montana","11-01-2022","Granite 01","WOAH Poultry","40"
"Wayne","New York","11-01-2022","Wayne 01","WOAH Non-Poultry","10"
"Deschutes","Oregon","11-01-2022","Deschutes 07","WOAH Non-Poultry","8"
"Gregory","South Dakota","11-01-2022","Gregory 02","Commercial Upland Gamebird Producer","3000"
"Yavapai","Arizona","11-02-2022","Yavapai 01","WOAH Non-Poultry","50"
"Bergen","New Jersey","11-02-2022","Bergen 01","WOAH Non-Poultry","60"
"Allegheny","Pennsylvania","11-02-2022","Allegheny 01","WOAH Non-Poultry","20"
"Waukesha","Wisconsin","11-02-2022","Waukesha 01","WOAH Non-Poultry","10"
"Yavapai","Arizona","11-03-2022","Yavapai 02","WOAH Non-Poultry","30"
"San Diego","California","11-03-2022","San Diego 01","WOAH Poultry","150"
"Broward","Florida","11-03-2022","Broward 03","WOAH Non-Poultry","70"
"Middlesex","Massachusetts","11-03-2022","Middlesex 01","WOAH Non-Poultry","20"
"Bottineau","North Dakota","11-03-2022","Bottineau 01","WOAH Poultry","130"
"Yamhill","Oregon","11-03-2022","Yamhill 01","WOAH Poultry","150"
"Lehigh","Pennsylvania","11-03-2022","Lehigh 01","Commercial Turkey Meat Bird","28500"
"Beaufort","South Carolina","11-03-2022","Beaufort 01","WOAH Non-Poultry","170"
"Marathon","Wisconsin","11-03-2022","Marathon 01","WOAH Non-Poultry","30"
"Lawrence","Mississippi","11-04-2022","Lawrence 01","Commercial Broiler Breeder","34400"
"Sullivan","New York","11-04-2022","Sullivan 01","WOAH Non-Poultry","140"
"Dauphin","Pennsylvania","11-04-2022","Dauphin 01","WOAH Non-Poultry","130"
"Lehigh","Pennsylvania","11-04-2022","Lehigh 02","Commercial Turkey Meat Bird","14500"
"Wright","Iowa","11-06-2022","Wright 02","Commercial Table Egg Layer","1022800"
"Butler","Ohio","11-07-2022","Butler 01","WOAH Poultry","150"
"Gloucester","Virginia","11-07-2022","Gloucester 01","WOAH Non-Poultry","80"
"Jefferson","Wisconsin","11-07-2022","Jefferson 02","Commercial Upland Gamebird Producer","187900"
"Converse","Wyoming","11-07-2022","Converse 01","WOAH Non-Poultry","20"
"Louisa","Iowa","11-08-2022","Louisa 01","WOAH Non-Poultry","20"
"Lehigh","Pennsylvania","11-08-2022","Lehigh 03","Commercial Turkey Breeder Hens","7500"
"Lehigh","Pennsylvania","11-08-2022","Lehigh 04","Commercial Turkey Meat Bird","17400"
"Snohomish","Washington","11-08-2022","Snohomish 07","WOAH Non-Poultry","150"
"Lapeer","Michigan","11-10-2022","Lapeer 03","WOAH Poultry","990"
"Mountrail","North Dakota","11-10-2022","Mountrail 01","WOAH Non-Poultry","40"
"Ward","North Dakota","11-10-2022","Ward 02","WOAH Poultry","20"
"Lehigh","Pennsylvania","11-10-2022","Lehigh 06","Commercial Turkey Breeder Toms","160"
"Lehigh","Pennsylvania","11-10-2022","Lehigh 05","Commercial Turkey Meat Bird","18500"
"Queens","New York","11-12-2022","Queens 01","Live Bird Market","170"
"Lowndes","Mississippi","11-14-2022","Lowndes 01","WOAH Non-Poultry","8"
"Duval","Florida","11-15-2022","Duval 01","WOAH Non-Poultry","30"
"Otter Tail","Minnesota","11-15-2022","Otter Tail 07","Commercial Turkey Meat Bird","28200"
"Bledsoe","Tennessee","11-15-2022","Bledsoe 01","Commercial Broiler Breeder","20900"
"Fresno","California","11-16-2022","Fresno 07","Commercial Duck Breeder","34700"
"Hillsborough","Florida","11-16-2022","Hillsborough 02","WOAH Non-Poultry","100"
"Seminole","Florida","11-16-2022","Seminole 02","WOAH Poultry","100"
"Broward","Florida","11-17-2022","Broward 04","WOAH Non-Poultry","20"
"Berks","Pennsylvania","11-17-2022","Berks 12","WOAH Non-Poultry","30"
"Union","North Carolina","11-18-2022","Union 01","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","Utah 02","WOAH Non-Poultry","270"
"Washington","Maine","11-21-2022","Washington 02","WOAH Non-Poultry","90"
"Edmunds","South Dakota","11-21-2022","Edmunds 05","Commercial Turkey Meat Bird","34400"
"Webster","Missouri","11-22-2022","Webster 01","WOAH Poultry","9100"
"Beadle","South Dakota","11-22-2022","Beadle 06","Commercial Turkey Meat Bird","29200"
"Broward","Florida","11-23-2022","Broward 05","WOAH Non-Poultry","10"
"Todd","Minnesota","11-23-2022","Todd 08","Commercial Turkey Meat Bird","44500"
"Columbia","Oregon","11-23-2022","Columbia 01","WOAH Non-Poultry","30"
"Brule","South Dakota","11-23-2022","Brule 03","WOAH Non-Poultry","30"
"Faulk","South Dakota","11-23-2022","Faulk 02","Commercial Turkey Meat Bird","49900"
"Davidson","Tennessee","11-23-2022","Davidson 01","WOAH Non-Poultry","10"
"Matanuska Susitna","Alaska","11-25-2022","Matanuska-Susitna 05","WOAH Non-Poultry","40"
"Dixon","Nebraska","11-25-2022","Dixon 02","Commercial Table Egg Layer","1700000"
"Durham","North Carolina","11-25-2022","Durham 01","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-25-2022","Beadle 07","Commercial Turkey Meat Bird","50700"
"Beadle","South Dakota","11-25-2022","Beadle 08","Commercial Turkey Meat Bird","67900"
"Spink","South Dakota","11-25-2022","Spink 05","Commercial Turkey Meat Bird","55500"
"Turner","South Dakota","11-25-2022","Turner 01","WOAH Non-Poultry","210"
"Webster","Missouri","11-28-2022","Webster 02","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","Iron 01","WOAH Poultry","3000"
"Washington","Maryland","11-29-2022","Washington 01","Commercial Table Egg Breeder","24600"
"Hanson","South Dakota","11-29-2022","Hanson 03","Commercial Turkey Meat Bird","71600"
"Spink","South Dakota","11-29-2022","Spink 06","Commercial Turkey Meat Bird","32900"
"Grundy","Illinois","11-30-2022","Grundy 01","WOAH Poultry","8800"
"Charles Mix","South Dakota","11-30-2022","Charles Mix 05","Commercial Turkey Meat Bird","75100"
"Hamlin","South Dakota","11-30-2022","Hamlin 03","Commercial Turkey Meat Bird","50000"
"Arkansas","Arkansas","12-01-2022","Arkansas 01","WOAH Non-Poultry","20"
"Jackson","Missouri","12-01-2022","Jackson 02","WOAH Non-Poultry","30"
"Brookings","South Dakota","12-01-2022","Brookings 01","WOAH Non-Poultry","210"
"Lake","South Dakota","12-01-2022","Lake 02","Commercial Turkey Meat Bird","78000"
"Knox","Nebraska","12-02-2022","Knox 02","WOAH Non-Poultry","10"
"Union","North Carolina","12-02-2022","Union 02","WOAH Non-Poultry","9"
"Clark","South Dakota","12-02-2022","Clark 06","WOAH Non-Poultry","40"
