"County","State","Outbreak Date","Area Id","Flock Type","Flock Size"
"Clark","South Dakota","03-27-2022","Clark 01","Commercial Turkey Meat Bird","43100"
"Hutchinson","South Dakota","03-27-2022","Hutchinson 03","Commercial Turkey Meat Bird","39200"
"Mcpherson","South Dakota","03-27-2022","McPherson 01","Commercial Turkey Meat Bird","43900"
"Guthrie","Iowa","03-28-2022","Guthrie 01","Commercial Table Egg Layer","1460000"
"Hamilton","Iowa","03-28-2022","Hamilton 01","Commercial Turkey Meat Bird","25800"
"Knox","Maine","03-29-2022","Knox 04","WOAH Non-Poultry","40"
"Berkshire","Massachusetts","03-29-2022","Berkshire 01","WOAH Non-Poultry","260"
"Kandiyohi","Minnesota","03-29-2022","Kandiyohi 01","Commercial Turkey Meat Bird","39500"
"Lac Qui Parle","Minnesota","03-29-2022","Lac Qui Parle 01","Commercial Turkey Meat Bird","22500"
"Monroe","New York","03-29-2022","Monroe 01","WOAH Poultry","400"
"Johnston","North Carolina","03-29-2022","Johnston 01","Commercial Turkey Meat Bird","32100"
"Kidder","North Dakota","03-29-2022","Kidder 01","WOAH Poultry","30"
"Franklin","Ohio","03-29-2022","Franklin 01","WOAH Non-Poultry","8"
"Bon Homme","South Dakota","03-29-2022","Bon Homme 02","Commercial Turkey Meat Bird","48200"
"Edmunds","South Dakota","03-29-2022","Edmunds 02","Commercial Turkey Breeder Hens","21900"
"Spink","South Dakota","03-29-2022","Spink 01","Commercial Turkey Meat Bird","45900"
"Johnson","Wyoming","03-29-2022","Johnson 01","WOAH Non-Poultry","40"
"Buena Vista","Iowa","03-30-2022","Buena Vista 04","Commercial Turkey Meat Bird","35600"
"Lincoln","Maine","03-30-2022","Lincoln 03","WOAH Non-Poultry","3"
"Brule","South Dakota","03-30-2022","Brule 01","Commercial Turkey Meat Bird","55100"
"Park","Wyoming","03-30-2022","Park 01","WOAH Non-Poultry","40"
"Carroll","Illinois","03-31-2022","Carroll 01","WOAH Non-Poultry","40"
"Cherokee","Iowa","03-31-2022","Cherokee 01","Commercial Turkey Meat Bird","88000"
"Osceola","Iowa","03-31-2022","Osceola 01","Commercial Table Egg Layer","5011700"
"Morrison","Minnesota","03-31-2022","Morrison 01","Commercial Turkey Meat Bird","52600"
"Stearns","Minnesota","03-31-2022","Stearns 02","WOAH Non-Poultry","150"
"Dickey","North Dakota","03-31-2022","Dickey 01","WOAH Poultry","30"
"Mcpherson","South Dakota","03-31-2022","McPherson 02","Commercial Turkey Breeder Hens","26000"
"Jasper","Missouri","04-01-2022","Jasper 02","Commercial Turkey Meat Bird","35300"
"Dickey","North Dakota","04-01-2022","Dickey 02","Commercial Turkey Meat Bird","60700"
"Charles Mix","South Dakota","04-01-2022","Charles Mix 04","Commercial Turkey Meat Bird","81500"
"Edmunds","South Dakota","04-01-2022","Edmunds 03","Commercial Turkey Breeder Replacement Hens","30600"
"Rock","Wisconsin","04-01-2022","Rock 01","WOAH Non-Poultry","20"
"Fremont","Wyoming","04-01-2022","Fremont 01","WOAH Non-Poultry","50"
"Humboldt","Iowa","04-02-2022","Humboldt 01","Commercial Table Egg Breeder","15300"
"Sac","Iowa","04-02-2022","Sac 01","Commercial Turkey Meat Bird","37200"
"Stearns","Minnesota","04-02-2022","Stearns 03","Commercial Turkey Meat Bird","27600"
"Johnston","North Carolina","04-02-2022","Johnston 02","Commercial Turkey Meat Bird","9500"
"Johnston","North Carolina","04-02-2022","Johnston 03","Commercial Turkey Meat Bird","18900"
"Wayne","North Carolina","04-02-2022","Wayne 01","Commercial Turkey Meat Bird","16900"
"Lamoure","North Dakota","04-02-2022","LaMoure 01","Commercial Turkey Meat Bird","27400"
"Lake","South Dakota","04-02-2022","Lake 01","Commercial Turkey Meat Bird","59000"
"Spink","South Dakota","04-02-2022","Spink 02","Commercial Turkey Meat Bird","41800"
"Dodge","Minnesota","04-03-2022","Dodge 01","Commercial Turkey Meat Bird","20000"
"Le Sueur","Minnesota","04-03-2022","Le Sueur 01","Commercial Turkey Meat Bird","19600"
"Erath","Texas","04-03-2022","Erath 01","Commercial Upland Gamebird Producer","1700"
"Hamilton","Iowa","04-04-2022","Hamilton 02","Commercial Turkey Poult Supplier","8100"
"Becker","Minnesota","04-04-2022","Becker 01","Commercial Turkey Meat Bird","44700"
"Kandiyohi","Minnesota","04-04-2022","Kandiyohi 03","Commercial Turkey Breeder Hens","48500"
"Kandiyohi","Minnesota","04-04-2022","Kandiyohi 04","Commercial Turkey Breeder Hens","20400"
"Kandiyohi","Minnesota","04-04-2022","Kandiyohi 02","Commercial Turkey Meat Bird","38500"
"Morrison","Minnesota","04-04-2022","Morrison 02","Commercial Turkey Meat Bird","32400"
"Lamoure","North Dakota","04-04-2022","LaMoure 02","Commercial Turkey Meat Bird","50900"
"Mcpherson","South Dakota","04-04-2022","McPherson 03","Commercial Turkey Meat Bird","61000"
"Hardin","Iowa","04-05-2022","Hardin 01","Commercial Turkey Meat Bird","46000"
"Waldo","Maine","04-05-2022","Waldo 01","WOAH Non-Poultry","50"
"Big Stone","Minnesota","04-05-2022","Big Stone 01","Commercial Turkey Meat Bird","49500"
"Meeker","Minnesota","04-05-2022","Meeker 02","Commercial Turkey Meat Bird","128500"
"Morrison","Minnesota","04-05-2022","Morrison 03","Commercial Turkey Meat Bird","26200"
"Morrison","Minnesota","04-05-2022","Morrison 04","Commercial Turkey Meat Bird","105300"
"Stearns","Minnesota","04-05-2022","Stearns 04","Commercial Turkey Meat Bird","40800"
"Waseca","Minnesota","04-05-2022","Waseca 01","Commercial Turkey Meat Bird","25500"
"Lawrence","Missouri","04-05-2022","Lawrence 02","Commercial Turkey Meat Bird","27600"
"Scotts Bluff","Nebraska","04-05-2022","Scotts Bluff 01","WOAH Non-Poultry","30"
"Orleans","New York","04-05-2022","Orleans 01","WOAH Poultry","30"
"Wayne","North Carolina","04-05-2022","Wayne 02","Commercial Turkey Meat Bird","14200"
"Cass","North Dakota","04-05-2022","Cass 01","WOAH Non-Poultry","110"
"Beadle","South Dakota","04-05-2022","Beadle 03","Commercial Turkey Meat Bird","55600"
"Clark","South Dakota","04-05-2022","Clark 02","Commercial Turkey Meat Bird","24000"
"Faulk","South Dakota","04-05-2022","Faulk 01","Commercial Turkey Meat Bird","48000"
"Spink","South Dakota","04-05-2022","Spink 03","Commercial Turkey Meat Bird","26300"
"Sheridan","Wyoming","04-05-2022","Sheridan 01","WOAH Non-Poultry","50"
"Waseca","Minnesota","04-06-2022","Waseca 02","Commercial Turkey Meat Bird","17900"
"Dade","Missouri","04-06-2022","Dade 01","Commercial Turkey Meat Bird","14000"
"Fulton","New York","04-06-2022","Fulton 01","WOAH Non-Poultry","4"
"Wayne","North Carolina","04-06-2022","Wayne 03","Commercial Broiler Production","216000"
"Wayne","North Carolina","04-06-2022","Wayne 04","Commercial Broiler Production","65600"
"Mcpherson","South Dakota","04-06-2022","McPherson 04","Commercial Turkey Meat Bird","45900"
"Park","Wyoming","04-06-2022","Park 02","WOAH Non-Poultry","100"
"Kandiyohi","Minnesota","04-07-2022","Kandiyohi 05","Commercial Turkey Breeder Hens","20800"
"Cascade","Montana","04-07-2022","Cascade 01","WOAH Poultry","22000"
"Judith Basin","Montana","04-07-2022","Judith Basin 01","WOAH Non-Poultry","20"
"Wayne","North Carolina","04-07-2022","Wayne 05","Commercial Turkey Meat Bird","18500"
"Racine","Wisconsin","04-07-2022","Racine 01","WOAH Poultry","220"
"Pitkin","Colorado","04-08-2022","Pitkin 01","WOAH Poultry","30"
"Elkhart","Indiana","04-08-2022","Elkhart 01","Commercial Duck Breeder","4700"
"Otter Tail","Minnesota","04-08-2022","Otter Tail 01","Commercial Turkey Meat Bird","29900"
"Renville","Minnesota","04-08-2022","Renville 01","Commercial Turkey Meat Bird","76400"
"Stutsman","North Dakota","04-08-2022","Stutsman 01","WOAH Poultry","40"
"Clark","South Dakota","04-08-2022","Clark 03","Commercial Turkey Meat Bird","38700"
"Edmunds","South Dakota","04-08-2022","Edmunds 04","Commercial Turkey Meat Bird","36400"
"Le Sueur","Minnesota","04-09-2022","Le Sueur 02","Commercial Turkey Meat Bird","37800"
"Stearns","Minnesota","04-09-2022","Stearns 05","Commercial Turkey Meat Bird","26100"
"Swift","Minnesota","04-09-2022","Swift 01","Commercial Turkey Meat Bird","130900"
"Yankton","South Dakota","04-09-2022","Yankton 01","Commercial Turkey Meat Bird","76100"
"Menominee","Michigan","04-11-2022","Menominee 01","WOAH Non-Poultry","70"
"Benton","Minnesota","04-12-2022","Benton 01","WOAH Non-Poultry","130"
"Kandiyohi","Minnesota","04-12-2022","Kandiyohi 06","Commercial Turkey Meat Bird","37100"
"Morrison","Minnesota","04-12-2022","Morrison 06","Commercial Broiler Production","42900"
"Morrison","Minnesota","04-12-2022","Morrison 07","Commercial Table Egg Layer","216200"
"Morrison","Minnesota","04-12-2022","Morrison 05","Commercial Turkey Meat Bird","37600"
"Yellow Medicine","Minnesota","04-12-2022","Yellow Medicine 01","Commercial Turkey Meat Bird","44800"
"Toole","Montana","04-12-2022","Toole 01","WOAH Non-Poultry","20"
